country	zapas
United States	8500.0
Canada	2000.0
Mexico	400.0
Argentina	300.0
Bolivia	300.0
Brazil	500.0
Colombia	200.0
Peru	400.0
Trinidad and Tobago	400.0
Venezuela	5600.0
Other S. and Cent. America	100.0
Azerbaijan	900.0
Germany	100.0
Italy	100.0
Kazakhstan	1300.0
Netherlands	1000.0
Norway	2100.0
Poland	100.0
Romania	100.0
Russian Federation	32900.0
Turkmenistan	17500.0
Ukraine	600.0
United Kingdom	200.0
Uzbekistan	1100.0
Other Europe	300.0
Bahrain	200.0
Iran	33600.0
Iraq	3600.0
Kuwait	1800.0
Oman	900.0
Qatar	25100.0
Saudi Arabia	8200.0
Syria	300.0
United Arab Emirates	6100.0
Yemen	500.0
Other Middle East	200.0
Algeria	4500.0
Egypt	2000.0
Libya	1500.0
Nigeria	5200.0
Other Africa	1300.0
Australia	3800.0
Bangladesh	200.0
Brunei	300.0
China	3100.0
India	1300.0
Indonesia	2900.0
Malaysia	1300.0
Myanmar	200.0
Pakistan	600.0
Papua New Guinea	400.0
Thailand	300.0
Vietnam	600.0
Other Asia Pacific	300.0